Documento;1p;2p;3p
1789493;5;5;5
4477435;5;3;3
1753749;1;1;1
1950240;4;4;4
1841995;4;2;2
2987874;3;3;3
3996858;5;1;1
5510249;5;4;4
4432980;1;3;3
5585475;1;3;3
3683769;5;3;3
3671383;1;2;2
5776957;1;2;2
3592399;5;5;5
883280;5;5;5
610653;5;5;5
3617230;2;4;4
2312380;1;2;2
2940649;1;2;2
4293699;1;2;2
3624156;2;4;4
4021141;2;4;4
4047980;1;5;5
1703181;4;2;2
5467037;5;3;3
90336;5;2;2
1789150;2;5;5
1420409;2;1;1
1540520;1;1;1
2245845;5;5;5
3371991;3;3;3
1435974;5;5;5
3316156;2;4;4
5903500;5;2;2
258616;4;5;5
5051070;5;5;5
481312;2;5;5
273025;1;3;3
1893557;5;3;3
1003920;2;1;1
3449388;3;1;1
140887;5;3;3
5696189;1;1;1
1158221;4;3;3
190683;2;2;2
4774680;5;1;1
2706221;5;1;1
991484;5;5;5
5796165;3;1;1
4773221;2;5;5
254576;2;1;1
2412378;3;1;1
3523808;1;4;4
5409324;2;5;5
4650977;4;2;2
1666383;1;3;3
4883941;3;1;1
4033274;5;5;5
5749605;2;5;5
3165735;1;4;4
265652;2;1;1
581813;1;3;3
4018154;3;3;3
2985388;2;1;1
3922317;1;5;5
1137948;5;1;1
3060481;5;5;5
5133031;1;5;5
4354575;1;1;1
